connected to mqtt://192.168.0.153:1883  (read-only scan)

--- 0x0000..0x07FF   explicit range
  0x0150 =  16256   signed  16256   <-- non-zero
  0x0151 =      0   signed      0
  0x0152 =      0   signed      0
  0x0153 =      0   signed      0
  0x0154 =      0   signed      0
  0x0155 =      0   signed      0
  0x0156 =      0   signed      0
  0x0157 =      0   signed      0
  0x0158 =      0   signed      0
  0x0159 =      0   signed      0
  0x015A =      0   signed      0
  0x015B =      0   signed      0
  0x015C =      0   signed      0
  0x015D =      0   signed      0
  0x015E =      0   signed      0
  0x015F =      0   signed      0
  0x0160 =      0   signed      0
  0x0161 =      0   signed      0
  0x0162 =      0   signed      0
  0x0163 =      0   signed      0
  0x0164 =      0   signed      0
  0x0165 =      0   signed      0
  0x0166 =      0   signed      0
  0x0167 =      0   signed      0
  0x0168 =      0   signed      0
  0x0169 =      0   signed      0
  0x016A =      0   signed      0
  0x016B =      0   signed      0
  0x016C =      0   signed      0
  0x016D =      0   signed      0
  0x016E =      0   signed      0
  0x016F =      0   signed      0
  0x0170 =      0   signed      0
  0x0171 =      0   signed      0
  0x0172 =      0   signed      0
  0x0173 =      0   signed      0
  0x0174 =      0   signed      0
  0x0175 =      0   signed      0
  0x0176 =      0   signed      0
  0x0177 =      0   signed      0
  0x0178 =      0   signed      0
  0x0179 =      0   signed      0
  0x017A =      0   signed      0
  0x017B =      0   signed      0
  0x017C =      0   signed      0
  0x017D =      0   signed      0
  0x017E =      0   signed      0
  0x017F =      0   signed      0
  0x0180 =      0   signed      0
  0x0181 =      0   signed      0
  0x0182 =      0   signed      0
  0x0183 =      0   signed      0
  0x0184 =      0   signed      0
  0x0185 =      0   signed      0
  0x0186 =      0   signed      0
  0x0187 =      0   signed      0
  0x0188 =      0   signed      0
  0x0189 =      0   signed      0
  0x018A =      0   signed      0
  0x018B =      0   signed      0
  0x018C =      0   signed      0
  0x018D =      0   signed      0
  0x018E =      0   signed      0
  0x018F =      0   signed      0
  0x0190 =  16318   signed  16318   <-- non-zero
  0x0191 =  16318   signed  16318   <-- non-zero
  0x0192 =      0   signed      0
  0x0193 =      0   signed      0
  0x0194 =      0   signed      0
  0x0195 =      0   signed      0
  0x0196 =      0   signed      0
  0x0197 =      0   signed      0
  0x0198 =      0   signed      0
  0x0199 =      0   signed      0
  0x019A =      0   signed      0
  0x019B =      0   signed      0
  0x019C =      0   signed      0
  0x019D =      0   signed      0
  0x019E =      0   signed      0
  0x019F =      0   signed      0
  0x01A0 =      0   signed      0
  0x01A1 =      0   signed      0
  0x01A2 =      0   signed      0
  0x01A3 =      0   signed      0
  0x01A4 =      0   signed      0
  0x01A5 =      0   signed      0
  0x01A6 =      0   signed      0
  0x01A7 =      0   signed      0
  0x01A8 =      0   signed      0
  0x01A9 =      0   signed      0
  0x01AA =      0   signed      0
  0x01AB =      0   signed      0
  0x01AC =      0   signed      0
  0x01AD =      0   signed      0
  0x01AE =      0   signed      0
  0x01AF =      0   signed      0
  0x01B0 =      0   signed      0
  0x01B1 =      0   signed      0
  0x01B2 =      0   signed      0
  0x01B3 =      0   signed      0
  0x01B4 =      0   signed      0
  0x01B5 =      0   signed      0
  0x01B6 =      0   signed      0
  0x01B7 =      0   signed      0
  0x01B8 =      0   signed      0
  0x01B9 =      0   signed      0
  0x01BA =      0   signed      0
  0x01BB =      0   signed      0
  0x01BC =      0   signed      0
  0x01BD =      0   signed      0
  0x01BE =      0   signed      0
  0x01BF =      0   signed      0
  0x01C0 =      0   signed      0
  0x01C1 =      0   signed      0
  0x01C2 =      0   signed      0
  0x01C3 =      0   signed      0
  0x01C4 =      0   signed      0
  0x01C5 =      0   signed      0
  0x01C6 =      0   signed      0
  0x01C7 =      0   signed      0
  0x01C8 =      0   signed      0
  0x01C9 =      0   signed      0
  0x01CA =      0   signed      0
  0x01CB =      0   signed      0
  0x01CC =      0   signed      0
  0x01CD =      0   signed      0
  0x01CE =      0   signed      0
  0x01CF =      0   signed      0
  0x01D0 =      0   signed      0
  0x01D1 =      0   signed      0
  0x01D2 =      0   signed      0
  0x01D3 =      0   signed      0
  0x01D4 =      0   signed      0
  0x01D5 =      0   signed      0
  0x01D6 =      0   signed      0
  0x01D7 =      0   signed      0
  0x01D8 =      0   signed      0
  0x01D9 =      0   signed      0
  0x01DA =      0   signed      0
  0x01DB =      0   signed      0
  0x01DC =      0   signed      0
  0x01DD =      0   signed      0
  0x01DE =      0   signed      0
  0x01DF =      0   signed      0
  0x01E0 =      0   signed      0
  0x01E1 =      0   signed      0
  0x01E2 =      0   signed      0
  0x01E3 =      0   signed      0
  0x01E4 =      0   signed      0
  0x01E5 =      0   signed      0
  0x01E6 =      0   signed      0
  0x01E7 =      0   signed      0
  0x01E8 =      0   signed      0
  0x01E9 =      0   signed      0
  0x01EA =      0   signed      0
  0x01EB =      0   signed      0
  0x01EC =      0   signed      0
  0x01ED =      0   signed      0
  0x01EE =      0   signed      0
  0x01EF =      0   signed      0
  0x01F0 =      0   signed      0
  0x01F1 =      0   signed      0
  0x01F2 =      0   signed      0
  0x01F3 =      0   signed      0
  0x01F4 =      0   signed      0
  0x01F5 =      0   signed      0
  0x01F6 =      0   signed      0
  0x01F7 =      0   signed      0
  0x01F8 =      0   signed      0
  0x01F9 =      0   signed      0
  0x01FA =      0   signed      0
  0x01FB =      0   signed      0
  0x01FC =      0   signed      0
  0x01FD =      0   signed      0
  0x01FE =      0   signed      0
  0x01FF =      0   signed      0
  0x0200 =      0   signed      0
  0x0201 =      0   signed      0
  0x0202 =      0   signed      0
  0x0203 =      0   signed      0
  0x0204 =      0   signed      0
  0x0205 =      0   signed      0
  0x0206 =      0   signed      0
  0x0207 =      0   signed      0
  0x0208 =      0   signed      0
  0x0209 =      0   signed      0
  0x020A =      0   signed      0
  0x020B =      0   signed      0
  0x020C =      0   signed      0
